Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2016-04-21,106.93,106.93,105.52,105.97,31552525.0,0.0,1.0,99.94434701739372,99.94434701739372,98.62646121084246,99.04706306399711,31552525.0
2016-04-20,106.64,108.09,106.06,107.13,30611030.0,0.0,1.0,99.67329248980516,101.02856512774794,99.13118343462806,100.13128117435133,30611030.0
2016-04-19,107.88,108.0,106.23,106.91,32384879.0,0.0,1.0,100.83228426294242,100.944444757117,99.29007746804203,99.92565360169795,32384879.0
2016-04-18,108.89,108.95,106.94,107.48,60821461.0,0.0,1.0,101.77630175557843,101.83238200266572,99.95369372524159,100.45841594902718,60821461.0
2016-04-15,112.11,112.3,109.73,109.85,46938969.0,0.0,1.0,104.78594168259617,104.96352913170591,102.56142521480045,102.67358570897501,46938969.0
2016-04-14,111.62,112.39,111.33,112.1,25473923.0,0.0,1.0,104.32795299805,105.04764950233685,104.05689847046143,104.77659497474829,25473923.0
2016-04-13,110.8,112.34,110.8,112.04,33257316.0,0.0,1.0,103.56152295452374,105.00091596309744,103.56152295452374,104.72051472766101,33257316.0
2016-04-12,109.34,110.5,108.66,110.44,27232325.0,0.0,1.0,102.19690360873308,103.2811217190873,101.56132747507716,103.22504147200002,27232325.0
2016-04-11,108.97,110.61,108.83,109.02,29407518.0,0.0,1.0,101.85107541836148,103.383935505414,101.72022150849114,101.89780895760089,29407518.0
2016-04-08,108.91,109.77,108.17,108.66,23581740.0,0.0,1.0,101.79499517127418,102.59881204619197,101.10333879053098,101.56132747507716,23581740.0
2016-04-07,109.95,110.42,108.121,108.54,31801870.0,0.0,1.0,102.76705278745384,103.20634805630425,101.05753992207636,101.44916698090259,31801870.0
2016-04-06,110.23,110.98,109.2,110.96,26404077.0,0.0,1.0,103.02876060719451,103.7297636957856,102.06604969886274,103.71107028008983,26404077.0
2016-04-05,109.51,110.73,109.42,109.81,26578652.0,0.0,1.0,102.35579764214707,103.49609599958858,102.27167727151614,102.6361988775835,26578652.0
2016-04-04,110.42,112.19,110.27,111.12,37356204.0,0.0,1.0,103.20634805630425,104.86071534537922,103.06614743858603,103.86061760565595,37356204.0
2016-04-01,108.78,110.0,108.2,109.99,25873950.0,0.0,1.0,101.67348796925174,102.81378632669325,101.13137891407463,102.80443961884535,25873950.0
2016-03-31,109.72,109.9,108.88,108.99,25888449.0,0.0,1.0,102.55207850695257,102.72031924821444,101.76695504773055,101.86976883405724,25888449.0
2016-03-30,108.65,110.42,108.6,109.56,45601149.0,0.0,1.0,101.55198076722928,103.20634805630425,101.50524722798987,102.40253118138646,45601149.0
2016-03-29,104.89,107.79,104.88,107.68,31190083.0,0.0,1.0,98.03761861642595,100.7481638923115,98.02827190857806,100.6453501059848,31190083.0
2016-03-28,106.0,106.19,105.06,105.19,19411372.0,0.0,1.0,99.07510318754076,99.2526906366505,98.19651264983993,98.31801985186237,19411372.0
2016-03-24,105.47,106.25,104.89,105.67,26132955.0,0.0,1.0,98.57972767160305,99.3087708837378,98.03761861642595,98.76666182856069,26132955.0
2016-03-23,106.48,107.07,105.9,106.13,25703495.0,0.0,1.0,99.52374516423906,100.07520092726405,98.98163610906195,99.1966103895632,25703495.0
2016-03-22,105.25,107.29,105.21,106.72,32444375.0,0.0,1.0,98.37410009894967,100.28082849991745,98.33671326755814,99.74806615258821,32444375.0
2016-03-21,105.93,107.65,105.1401,105.91,35502678.0,0.0,1.0,99.0096762326056,100.61730998244117,98.27137977970146,98.99098281690982,35502678.0
2016-03-18,106.34,106.5,105.19,105.92,44205171.0,0.0,1.0,99.39289125436872,99.54243857993482,98.31801985186237,99.00032952475772,44205171.0
2016-03-17,105.52,106.47,104.96,105.8,34420705.0,0.0,1.0,98.62646121084246,99.51439845639118,98.10304557136111,98.88816903058313,34420705.0
2016-03-16,104.61,106.31,104.59,105.97,38303493.0,0.0,1.0,97.77591079668527,99.36485113082507,97.75721738098952,99.04706306399711,38303493.0
2016-03-15,103.96,105.18,103.85,104.58,40067734.0,0.0,1.0,97.16837478657298,98.3086731440145,97.06556100024629,97.74787067314163,40067734.0
2016-03-14,101.91,102.91,101.78,102.52,25076062.0,0.0,1.0,95.25229967775735,96.18697046254546,95.13079247573489,95.8224488564781,25076062.0
2016-03-11,102.24,102.28,101.5,102.26,27408237.0,0.0,1.0,95.56074103673743,95.59812786812896,94.86908465599421,95.57943445243319,27408237.0
2016-03-10,101.41,102.24,100.15,101.17,33513577.0,0.0,1.0,94.78496428536329,95.56074103673743,93.60727909653026,94.56064329701414,33513577.0
2016-03-09,101.31,101.58,100.27,101.12,27201683.0,0.0,1.0,94.69149720688448,94.94385831877727,93.71943959070482,94.51390975777474,27201683.0
2016-03-08,100.78,101.76,100.4,101.03,31182194.0,0.0,1.0,94.19612169094677,95.11209906003913,93.8409467927273,94.4297893871438,31182194.0
2016-03-07,102.39,102.83,100.96,101.87,35915810.0,0.0,1.0,95.70094165445565,96.11219679976242,94.36436243220862,95.21491284636583,35915810.0
